"iteration","corr_AB","corr_AB_shuf"
1,0.0872983116988775,0.308500790645956
2,0.475522755687363,-0.130717798795229
3,0.363114981693622,0.175900185310228
4,0.443788287632351,0.45635103534245
5,0.279851748031018,0.0351765055400318
6,0.366392307654874,0.3528656797656
7,0.278299184526833,0.00989690701658591
8,0.310858370806008,-0.475500999735374
9,0.00978974940858993,-0.0578344638722908
10,0.301146295591394,0.0510123286056525
11,0.202777988679553,0.161670233713443
12,0.33002872181732,-0.22520820565391
13,0.611984855942002,0.0131610441557616
14,0.0306649727370705,-0.016155113614512
15,0.121237007252212,0.0289033974724362
16,0.595544073690576,-0.0427435206816125
17,0.58506323257743,-0.312874255731835
18,0.378310343315037,0.256541391320822
19,0.555873744820448,-0.315589195116415
20,0.0520478903935338,0.552829930678696
21,0.461187938902946,-0.180858187633845
22,0.073599846529241,0.646423742919495
23,0.27052176379885,0.399900191452459
24,0.748251605694646,0.364353963524958
25,0.421815997426679,0.100590252423957
26,0.143909324000148,0.623863013870189
27,0.500431590891273,0.0794176231847776
28,0.389125487232105,0.171753267476775
29,0.325815456891524,-0.24243484773813
30,0.522126362840812,-0.126033858820671
31,0.271601120531132,0.123918926673304
32,0.577681762192748,0.0100948823352916
33,0.593723046673564,-0.509173264461007
34,0.192876018852739,0.518441012424648
35,0.33772919966979,-0.293273611171283
36,0.621623985670783,-0.257766783052202
37,0.334816258530722,0.272452277533545
38,0.0423473162897008,-0.250656297761179
39,0.396230060793846,-0.0631697024381458
40,0.32358642158828,-0.452930215163516
41,0.379887219499422,0.0671703189510996
42,0.458457502659329,-0.378679959542496
43,0.363073054410493,-0.177052638776518
44,0.617017193335106,-0.336694756046163
45,0.390510660005637,0.0129999848804529
46,0.170887408762623,-0.320187656088433
47,0.333269335590405,0.19620878882414
48,0.749062287459853,0.29069366706141
49,0.284635316672001,0.144580516663095
50,0.533838004598138,0.60966180989705
51,0.235609594515109,0.48692570248351
52,0.410744490309022,0.120615387661032
53,0.372680935161667,0.0743193308417384
54,0.415957818867049,-0.0640264291948909
55,0.37938523573816,0.581046313099355
56,0.364415060966723,-0.303090147155054
57,-0.030146878798422,-0.185920055298193
58,0.434169535151367,-0.135645286482561
59,0.411058864859932,-0.100574750154152
60,0.559025820348112,-0.192124189436091
61,0.497205588043284,-0.0451247631130114
62,0.318321342646628,0.0959524940666606
63,0.174702973733528,0.228506425552514
64,0.250534459764745,0.0445422317002992
65,0.0231943788365812,-0.638265419927229
66,0.327457532738317,-0.26073088958308
67,0.104203519278693,0.125264175571724
68,0.300033604916377,-0.282659035248434
69,0.318991684455793,0.287662740138104
70,0.471101977266897,0.226887186837991
71,0.350289425258769,-0.243868725968666
72,0.397675492773687,0.431556566375663
73,0.177143779377145,-0.288724770553835
74,-0.00514517349951505,0.219689127810063
75,0.45731309233776,-0.0761959948892033
76,0.353145646740883,-0.300306422718259
77,0.770400255081887,-0.490092842325693
78,0.818213817335566,-0.0499347463000204
79,0.300265949095168,0.188017865290336
80,0.614392902783911,-0.214411021287708
81,0.276564625957265,-0.476730111794407
82,0.0698367592276,0.456077002613745
83,0.677051679263563,-0.301387527177954
84,0.676706022830858,0.256888391387335
85,0.0291695152241587,0.421264929920359
86,0.432526269839321,0.32078824193763
87,0.251299202356168,-0.256846220107094
88,0.404633757168115,0.152405401122069
89,0.355410071106351,0.274020594327276
90,0.353661529468788,0.433678293881327
