talker,Jazz club,Basketball game,Manhattan sidewalk,Community center,Farm,Bagel shop,Gym,College campus,Church,Hardware Store,Barbecue,Video game convention,Spice market,Retirement home,Garden center,Ranch
T04,0.6842105263157895,0.375,0.0,0.16666666666666666,0.25,0.0,0.1,0.2,0.5454545454545454,0.14285714285714285,0.4,0.0,0.0,0.0,0.0,0.0
T09,0.16666666666666666,0.3,0.8571428571428571,0.0,0.0,0.6111111111111112,0.0,0.0,0.16666666666666666,0.3333333333333333,0.125,0.25,0.0,0.09090909090909091,0.0,0.0
T06,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.42857142857142855,0.7142857142857143,0.0,0.0,0.3333333333333333,0.1111111111111111,0.25,0.3333333333333333
T07,0.3333333333333333,0.5238095238095238,0.2,0.42857142857142855,0.125,0.25,0.4375,0.3333333333333333,0.09090909090909091,0.5,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.1
T03,0.0,0.0,0.125,0.42857142857142855,0.2,0.2,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.6111111111111112,0.0
T01,0.2,0.0,0.3333333333333333,0.625,0.1,0.0,0.0,0.14285714285714285,0.25,0.2,0.0,0.0,0.8181818181818182,0.0,0.0,0.0
T12,0.0,0.125,0.5,0.6666666666666666,0.2,0.1111111111111111,0.0,0.6666666666666666,0.0,0.0,0.125,0.5625,0.0,0.0,0.0,0.16666666666666666
T05,0.0,0.0,0.0,0.42857142857142855,0.65,0.3,0.0,0.1111111111111111,0.42857142857142855,0.2,0.42857142857142855,0.0,0.125,0.0,0.4,0.25
