talker,Jazz,Farming,Horses,Gardening,Religion,Fitness,Knitting,NYC landmarks,Social justice,Tools,Science,NYC restaurants,Southern cooking,Indian cooking,Sci-Fi,Sports
T04,0.5,0.2,0.2,0.0,0.3225806451612903,0.3333333333333333,0.0,0.3,0.5384615384615384,0.25,0.08333333333333333,0.0,0.4,0.0,0.16666666666666666,0.5
T07,0.5384615384615384,0.07142857142857142,0.1,0.0,0.1,0.3333333333333333,0.0,0.25,0.42857142857142855,0.42857142857142855,0.3,0.25,0.35714285714285715,0.0,0.1111111111111111,0.3181818181818182
T01,0.125,0.0,0.0,0.1,0.09090909090909091,0.125,0.3333333333333333,0.18181818181818182,0.7391304347826086,0.0,0.36363636363636365,0.1111111111111111,0.0,0.5714285714285714,0.0,0.125
T09,0.0,0.1111111111111111,0.0,0.0,0.125,0.0,0.0,0.85,0.125,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.25
T05,0.0,0.75,0.7083333333333334,0.0,0.0,0.0,0.25,0.14285714285714285,0.1,0.0,0.0,0.125,0.7857142857142857,0.0,0.07142857142857142,0.1
T03,0.1,0.09090909090909091,0.07142857142857142,0.6842105263157895,0.2,0.0,0.75,0.16666666666666666,0.3333333333333333,0.0,0.21428571428571427,0.125,0.14285714285714285,0.0,0.0,0.0
T12,0.16666666666666666,0.0,0.0,0.25,0.3,0.14285714285714285,0.0,0.25,0.2857142857142857,0.14285714285714285,0.6190476190476191,0.0,0.07142857142857142,0.0,0.6111111111111112,0.1111111111111111
T06,0.0,0.6666666666666666,0.3333333333333333,0.125,0.18181818181818182,0.14285714285714285,0.0,0.2222222222222222,0.0,0.3157894736842105,0.16666666666666666,0.125,0.5714285714285714,0.125,0.14285714285714285,0.2
